Season,Week,Date,Opponent,is_away,PF,PA
2025,1,,Los Angeles Chargers,1,21.0,27.0
2025,2,,Philadelphia Eagles,0,17.0,20.0
2025,3,,New York Giants,1,22.0,9.0
2025,4,,Baltimore Ravens,0,37.0,20.0
2025,5,,Jacksonville Jaguars,1,28.0,31.0
2025,6,,Detroit Lions,0,30.0,17.0
2025,7,,Las Vegas Raiders,0,31.0,0.0
2025,8,,Washington Commanders,0,28.0,7.0
2025,9,,Buffalo Bills,1,21.0,28.0
2025,10,,Bye Week,0,,
2025,11,,Denver Broncos,1,,
2025,12,,Indianapolis Colts,0,,
2025,13,,Dallas Cowboys,1,,
2025,14,,Houston Texans,0,,
2025,15,,Los Angeles Chargers,0,,
2025,16,,Tennessee Titans,1,,
2025,17,,Denver Broncos,0,,
2025,18,,Las Vegas Raiders,1,,
