Date,G#,Week,Opp,QB_PassYds,QB_PassTD,Cmp,Att
2023-09-07,1.0,1.0,DET,226,2,21,39
2023-09-17,2.0,2.0,JAX,305,2,29,41
2023-09-24,3.0,3.0,CHI,272,3,24,33
2023-10-01,4.0,4.0,NYJ,203,1,18,30
2023-10-08,5.0,5.0,MIN,281,2,31,41
2023-10-12,6.0,6.0,DEN,306,1,30,40
2023-10-22,7.0,7.0,LAC,424,4,32,42
2023-10-29,8.0,8.0,DEN,240,0,24,38
2023-11-05,9.0,9.0,MIA,185,2,20,30
2023-11-20,10.0,11.0,PHI,177,2,24,43
2023-11-26,11.0,12.0,LVR,298,2,27,34
2023-12-03,12.0,13.0,GNB,210,1,21,33
2023-12-10,13.0,14.0,BUF,271,1,25,43
2023-12-17,14.0,15.0,NWE,305,2,27,37
2023-12-25,15.0,16.0,LVR,235,1,27,44
2023-12-31,16.0,17.0,CIN,245,1,21,29
2024-01-07,17.0,18.0,LAC,Inactive,Inactive,Inactive,Inactive
